method,param,NDCG@10,Recall@10,ACLT,Exposure_Gini,Catalog_Coverage
xQuAD,0.00,0.2375,0.0290,0.0000,0.9960,0.0114
xQuAD,0.20,0.2375,0.0290,0.0000,0.9960,0.0114
xQuAD,0.40,0.2355,0.0285,0.0192,0.9957,0.0128
xQuAD,0.45,0.1897,0.0235,0.3229,0.9876,0.0291
xQuAD,0.50,0.0006,0.0001,1.0000,0.9768,0.0402
xQuAD,0.55,0.0006,0.0001,1.0000,0.9768,0.0402
xQuAD,0.60,0.0006,0.0001,1.0000,0.9768,0.0402
xQuAD,0.80,0.0006,0.0001,1.0000,0.9768,0.0402
FairRerank,0,0.2375,0.0290,0.0000,0.9960,0.0114
FairRerank,2,0.2135,0.0261,0.2000,0.9914,0.0229
FairRerank,4,0.1839,0.0224,0.4000,0.9860,0.0307
FairRerank,6,0.1477,0.0180,0.6000,0.9808,0.0364
